id_registro_educacional;id_caso;fecha;asistencia_establecimiento;cambio_rutina;carga_demanda_academica;nivel_ruido_ambiente;transicion_dificil;observacion_breve;origen_dato
EDU-0430;PAC-008;2026-08-14;Ausente;No;Alta;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0431;PAC-008;2026-08-15;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0432;PAC-008;2026-08-16;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0433;PAC-008;2026-08-17;Asiste jornada completa;No;Moderada;Bajo;No;Jornada sin incidentes relevantes.;Sintético
EDU-0434;PAC-008;2026-08-18;Asiste jornada parcial;No;Moderada;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0435;PAC-008;2026-08-19;Asiste jornada completa;No;Alta;Bajo;No;Jornada sin incidentes relevantes.;Sintético
EDU-0436;PAC-008;2026-08-20;Asiste jornada completa;No;Moderada;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0437;PAC-008;2026-08-21;Asiste jornada completa;Sí;Moderada;Bajo;No;Cambio de rutina anticipado con apoyo visual.;Sintético
EDU-0438;PAC-008;2026-08-22;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0439;PAC-008;2026-08-23;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0440;PAC-008;2026-08-24;Asiste jornada parcial;Sí;Moderada;Bajo;No;Cambio de rutina anticipado con apoyo visual.;Sintético
